planner,num_agents,num_robots,f,d,active_time,completion_time,planner_time,damage,num_disabled
StaticLineLackPlanner,50,5,2.0,5,-1,152.86888697956059,8.941012144088745,6937.6776742973225,36
StaticLineLackPlanner,50,5,2.0,5,-1,148.68299457711933,8.14833116531372,7437.448071059284,34
StaticLineLackPlanner,50,5,2.0,5,-1,135.3366445737105,8.225983142852783,7678.2408119857055,29
StaticLineLackPlanner,50,5,2.0,5,-1,120.97563521385815,7.927259922027588,6987.886720643489,31
StaticLineLackPlanner,50,5,2.0,5,-1,134.1051272397481,7.959607839584351,7444.720179324016,32
StaticLineLackPlanner,50,5,2.0,5,-1,135.21059954339947,7.80259895324707,7878.013264389002,27
StaticLineLackPlanner,50,5,2.0,5,-1,168.84215189237102,7.75456428527832,7614.361821679696,37
StaticLineLackPlanner,50,5,2.0,5,-1,121.87935970070384,7.644716024398804,7509.896154814871,29
StaticLineLackPlanner,50,5,2.0,5,-1,157.03930543789141,7.889675855636597,7563.784986433792,34
StaticLineLackPlanner,50,5,2.0,5,-1,130.1896241224962,7.852817058563232,7262.9124653317585,32
StaticLineLackPlanner,50,5,2.0,5,-1,127.38383152431139,7.838215351104736,7374.336482953423,32
StaticLineLackPlanner,50,5,2.0,5,-1,132.62133248132892,7.5859551429748535,7280.166740419593,32
StaticLineLackPlanner,50,5,2.0,5,-1,140.21774455503055,7.835824966430664,7403.498122137012,31
StaticLineLackPlanner,50,5,2.0,5,-1,169.74450269138285,7.679640769958496,7595.100579755874,39
StaticLineLackPlanner,50,5,2.0,5,-1,142.19251766863087,7.390527963638306,7894.363415501408,32
StaticLineLackPlanner,50,5,2.0,5,-1,104.26345751957889,7.927669048309326,6954.203817709304,30
StaticLineLackPlanner,50,5,2.0,5,-1,110.33323099613796,7.763235092163086,7105.019556818766,30
StaticLineLackPlanner,50,5,2.0,5,-1,171.87263388660284,7.849493980407715,7778.507658615597,35
StaticLineLackPlanner,50,5,2.0,5,-1,148.19877318962423,7.975054025650024,7300.4763364152905,34
StaticLineLackPlanner,50,5,2.0,5,-1,114.71583426377853,7.884549856185913,7435.844132912538,28
StaticLineLackPlanner,50,5,2.0,5,-1,144.9702097240585,7.7419281005859375,7211.704464081696,36
StaticLineLackPlanner,50,5,2.0,5,-1,132.06316078994126,7.953221321105957,7532.558200459258,30
StaticLineLackPlanner,50,5,2.0,5,-1,136.275529104499,8.041222333908081,7364.481266597169,31
StaticLineLackPlanner,50,5,2.0,5,-1,97.8790831348918,7.887510061264038,7643.731418134754,25
StaticLineLackPlanner,50,5,2.0,5,-1,165.03743970175412,8.063806772232056,7349.862748640385,36
StaticLineLackPlanner,50,5,2.0,5,-1,135.39627977813282,7.918836355209351,7508.252799578842,31
StaticLineLackPlanner,50,5,2.0,5,-1,124.42635552217256,7.570014953613281,7698.922047188548,28
StaticLineLackPlanner,50,5,2.0,5,-1,163.62372837007103,7.9323859214782715,7273.601382236938,39
StaticLineLackPlanner,50,5,2.0,5,-1,174.45726676160265,8.544448852539062,7598.6341068105685,39
StaticLineLackPlanner,50,5,2.0,5,-1,91.14724966764703,7.726596832275391,7456.610950305733,24
StaticLineLackPlanner,100,5,2.0,5,-1,136.17440347999195,54.95692706108093,16336.237289750014,53
StaticLineLackPlanner,100,5,2.0,5,-1,150.50848821780107,53.93471622467041,16387.822989718246,58
StaticLineLackPlanner,100,5,2.0,5,-1,150.10943639604852,55.51404118537903,17176.05929326202,54
StaticLineLackPlanner,100,5,2.0,5,-1,129.80380414923312,56.65159225463867,16301.111036030245,53
StaticLineLackPlanner,100,5,2.0,5,-1,141.344023513049,55.050599813461304,16391.578569824887,57
StaticLineLackPlanner,100,5,2.0,5,-1,176.49924541381864,55.11928176879883,17006.175332633447,59
StaticLineLackPlanner,100,5,2.0,5,-1,167.72324702276921,54.60065412521362,16914.14722179751,60
StaticLineLackPlanner,100,5,2.0,5,-1,139.6081716742822,56.4328351020813,16829.760159602305,53
StaticLineLackPlanner,100,5,2.0,5,-1,151.19004638001664,54.88733220100403,16725.963949149045,55
StaticLineLackPlanner,100,5,2.0,5,-1,134.5406033088472,56.55406188964844,16754.085946791194,52
StaticLineLackPlanner,100,5,2.0,5,-1,144.16482016277305,55.89301586151123,16572.226227820895,55
StaticLineLackPlanner,100,5,2.0,5,-1,148.2600147247577,54.64534783363342,16650.19173092725,53
StaticLineLackPlanner,100,5,2.0,5,-1,145.59971582420204,57.03829789161682,16426.954632987756,53
StaticLineLackPlanner,100,5,2.0,5,-1,163.88203628241456,56.74787616729736,16188.041679495296,64
StaticLineLackPlanner,100,5,2.0,5,-1,134.40893148964375,54.66788601875305,17559.47749399315,46
StaticLineLackPlanner,100,5,2.0,5,-1,136.56702001224102,57.16746234893799,16502.649905524326,52
StaticLineLackPlanner,100,5,2.0,5,-1,131.54548504810853,55.17943024635315,16873.942141135572,51
StaticLineLackPlanner,100,5,2.0,5,-1,125.23753227198779,56.295061111450195,16742.562335599116,47
StaticLineLackPlanner,100,5,2.0,5,-1,156.07611892238475,55.297529220581055,16880.352641107787,56
StaticLineLackPlanner,100,5,2.0,5,-1,158.89723112628673,56.26673102378845,16134.094689409212,64
StaticLineLackPlanner,100,5,2.0,5,-1,148.16516580051493,57.33822202682495,16503.687555305456,58
StaticLineLackPlanner,100,5,2.0,5,-1,129.5772882793873,55.99726986885071,16528.795071952893,50
StaticLineLackPlanner,100,5,2.0,5,-1,135.69556022092763,56.48117399215698,16898.698218455997,50
StaticLineLackPlanner,100,5,2.0,5,-1,149.95809009635374,55.45798134803772,16917.686004581177,54
StaticLineLackPlanner,100,5,2.0,5,-1,142.74037520204803,56.46630811691284,16084.397235353537,56
StaticLineLackPlanner,100,5,2.0,5,-1,114.39165328270232,55.778910875320435,17029.80315195721,43
StaticLineLackPlanner,100,5,2.0,5,-1,129.86716211599756,54.60583186149597,16815.60924071193,50
StaticLineLackPlanner,100,5,2.0,5,-1,163.85957791435766,57.13242483139038,16259.527113997121,64
StaticLineLackPlanner,100,5,2.0,5,-1,141.88308641363338,56.856316804885864,15969.751814649222,58
StaticLineLackPlanner,100,5,2.0,5,-1,166.2014205692594,54.11555600166321,17218.529896281838,57
StaticLineLackPlanner,200,5,2.0,5,-1,143.07675569048897,420.9928398132324,37429.97935015694,80
StaticLineLackPlanner,200,5,2.0,5,-1,149.98013739116672,410.2953431606293,36575.09754353562,93
StaticLineLackPlanner,200,5,2.0,5,-1,142.05537235695533,423.4560339450836,36954.06634133545,82
